latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.0650263,39.298985,81.0,10800,Africa/Dar_es_Salaam,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%)
2026-01-17T00:00,25.1,81
2026-01-17T01:00,25.0,81
2026-01-17T02:00,24.8,82
2026-01-17T03:00,24.4,86
2026-01-17T04:00,24.9,83
2026-01-17T05:00,25.0,83
2026-01-17T06:00,25.2,82
2026-01-17T07:00,25.6,81
2026-01-17T08:00,26.8,76
2026-01-17T09:00,27.6,71
2026-01-17T10:00,29.6,62
2026-01-17T11:00,30.4,59
2026-01-17T12:00,31.3,56
2026-01-17T13:00,32.3,53
2026-01-17T14:00,32.2,54
2026-01-17T15:00,31.9,52
2026-01-17T16:00,31.5,55
2026-01-17T17:00,30.0,61
2026-01-17T18:00,28.1,70
2026-01-17T19:00,26.8,79
2026-01-17T20:00,26.2,83
2026-01-17T21:00,26.5,78
2026-01-17T22:00,26.5,77
2026-01-17T23:00,26.0,79
2026-01-18T00:00,25.6,82
2026-01-18T01:00,25.2,85
2026-01-18T02:00,25.2,85
2026-01-18T03:00,25.6,83
2026-01-18T04:00,25.3,85
2026-01-18T05:00,25.1,86
2026-01-18T06:00,25.1,86
2026-01-18T07:00,25.8,84
2026-01-18T08:00,27.4,76
2026-01-18T09:00,29.0,68
2026-01-18T10:00,30.2,63
2026-01-18T11:00,31.1,58
2026-01-18T12:00,32.0,54
2026-01-18T13:00,32.4,53
2026-01-18T14:00,32.5,53
2026-01-18T15:00,32.4,52
2026-01-18T16:00,30.9,58
2026-01-18T17:00,29.4,65
2026-01-18T18:00,28.1,70
2026-01-18T19:00,26.8,77
2026-01-18T20:00,26.0,81
2026-01-18T21:00,26.1,80
2026-01-18T22:00,25.8,81
2026-01-18T23:00,25.5,84
2026-01-19T00:00,25.2,85
2026-01-19T01:00,25.0,87
2026-01-19T02:00,25.1,86
2026-01-19T03:00,25.4,85
2026-01-19T04:00,25.5,84
2026-01-19T05:00,25.2,86
2026-01-19T06:00,25.1,86
2026-01-19T07:00,25.9,83
2026-01-19T08:00,27.9,74
2026-01-19T09:00,29.7,64
2026-01-19T10:00,30.2,61
2026-01-19T11:00,31.0,59
2026-01-19T12:00,31.9,56
2026-01-19T13:00,32.6,54
2026-01-19T14:00,32.2,54
2026-01-19T15:00,32.0,54
2026-01-19T16:00,31.0,58
2026-01-19T17:00,29.5,64
2026-01-19T18:00,28.2,69
2026-01-19T19:00,26.8,77
2026-01-19T20:00,26.1,81
2026-01-19T21:00,26.0,81
2026-01-19T22:00,25.8,81
2026-01-19T23:00,25.5,82
2026-01-20T00:00,25.3,83
2026-01-20T01:00,25.2,83
2026-01-20T02:00,25.0,83
2026-01-20T03:00,25.4,80
2026-01-20T04:00,25.8,77
2026-01-20T05:00,25.6,77
2026-01-20T06:00,25.5,78
2026-01-20T07:00,26.0,77
2026-01-20T08:00,27.7,69
2026-01-20T09:00,28.9,64
2026-01-20T10:00,30.4,58
2026-01-20T11:00,30.8,56
2026-01-20T12:00,32.0,53
2026-01-20T13:00,32.5,51
2026-01-20T14:00,32.8,51
2026-01-20T15:00,31.5,55
2026-01-20T16:00,30.1,61
2026-01-20T17:00,29.6,64
2026-01-20T18:00,28.0,69
2026-01-20T19:00,26.9,75
2026-01-20T20:00,26.5,78
2026-01-20T21:00,26.2,79
2026-01-20T22:00,25.9,81
2026-01-20T23:00,25.5,83
2026-01-21T00:00,25.1,85
2026-01-21T01:00,24.9,87
2026-01-21T02:00,25.0,87
2026-01-21T03:00,25.3,82
2026-01-21T04:00,25.2,84
2026-01-21T05:00,25.1,85
2026-01-21T06:00,24.9,87
2026-01-21T07:00,25.7,84
2026-01-21T08:00,27.6,74
2026-01-21T09:00,28.9,69
2026-01-21T10:00,30.4,62
2026-01-21T11:00,31.1,59
2026-01-21T12:00,32.0,55
2026-01-21T13:00,31.5,59
2026-01-21T14:00,30.6,64
2026-01-21T15:00,31.2,58
2026-01-21T16:00,30.5,61
2026-01-21T17:00,29.0,67
2026-01-21T18:00,28.3,71
2026-01-21T19:00,27.0,78
2026-01-21T20:00,26.5,83
2026-01-21T21:00,26.2,83
2026-01-21T22:00,26.0,84
2026-01-21T23:00,25.6,85
2026-01-22T00:00,25.3,87
2026-01-22T01:00,25.0,88
2026-01-22T02:00,24.8,89
2026-01-22T03:00,25.0,86
2026-01-22T04:00,25.0,86
2026-01-22T05:00,24.9,87
2026-01-22T06:00,24.4,89
2026-01-22T07:00,25.0,87
2026-01-22T08:00,27.5,75
2026-01-22T09:00,29.1,66
2026-01-22T10:00,30.1,62
2026-01-22T11:00,31.0,58
2026-01-22T12:00,31.2,57
2026-01-22T13:00,31.7,56
2026-01-22T14:00,31.8,54
2026-01-22T15:00,31.5,56
2026-01-22T16:00,30.4,60
2026-01-22T17:00,29.4,63
2026-01-22T18:00,28.1,67
2026-01-22T19:00,26.7,76
2026-01-22T20:00,26.0,81
2026-01-22T21:00,26.0,82
2026-01-22T22:00,25.8,83
2026-01-22T23:00,25.6,84
2026-01-23T00:00,25.4,85
2026-01-23T01:00,25.4,86
2026-01-23T02:00,25.8,84
2026-01-23T03:00,25.8,84
2026-01-23T04:00,25.4,85
2026-01-23T05:00,25.2,86
2026-01-23T06:00,25.0,87
2026-01-23T07:00,25.5,85
2026-01-23T08:00,27.5,76
2026-01-23T09:00,28.8,70
2026-01-23T10:00,30.0,65
2026-01-23T11:00,31.1,59
2026-01-23T12:00,31.8,56
2026-01-23T13:00,32.2,54
